time	V(in)	V(out)
1.800523532585666e+001	6.227615e+000	
1.800869927603647e+001	6.268061e+000	
1.801231162084365e+001	6.307273e+000	
1.801569757486503e+001	6.341052e+000	
1.802691634073513e+001	6.430736e+000	
1.803825751771761e+001	6.484929e+000	
1.805942227732153e+001	6.500027e+000	
1.808897836159364e+001	6.363794e+000	
1.811825219570066e+001	6.042397e+000	
1.815199243007566e+001	5.454909e+000	
1.818247615496744e+001	4.745145e+000	
1.821621638934244e+001	3.816946e+000	
1.822886897723306e+001	3.419120e+000	
1.824995662371743e+001	2.721350e+000	
1.827947932879556e+001	1.685619e+000	
1.833430720965494e+001	-3.009270e-001	
1.833852473895181e+001	-4.524646e-001	
1.834695979754556e+001	-7.515120e-001	
1.836804744402994e+001	-1.486945e+000	
1.839335261981119e+001	-2.321298e+000	
1.840600520770181e+001	-2.712373e+000	
1.842287532488932e+001	-3.191666e+000	
1.845661555926431e+001	-4.035318e+000	
1.849035579363931e+001	-4.713774e+000	
1.852409602801431e+001	-5.184971e+000	
1.855783626238931e+001	-5.434364e+000	
1.859157649676431e+001	-5.456907e+000	
1.862531673113931e+001	-5.257050e+000	
1.865905696551431e+001	-4.848327e+000	
1.869279719988931e+001	-4.252584e+000	
1.872653743426431e+001	-3.498865e+000	
1.876027766863931e+001	-2.622025e+000	
1.879401790301431e+001	-1.670081e+000	
1.880004294486698e+001	-1.490731e+000	
1.880606798671967e+001	-1.310828e+000	
1.881209302857234e+001	-1.130373e+000	
1.881811807042502e+001	-9.493669e-001	
1.882414311227770e+001	-7.678089e-001	
1.883016815413038e+001	-5.856990e-001	
1.883619319598306e+001	-4.030374e-001	
1.885306331317056e+001	1.002757e-001	
1.888680354754556e+001	1.073882e+000	
1.892054378192056e+001	1.980515e+000	
1.895428401629556e+001	2.781836e+000	
1.898802425067056e+001	3.447876e+000	
1.902176448504556e+001	3.955087e+000	
1.905550471942055e+001	4.287141e+000	
1.908924495379555e+001	4.435414e+000	
1.912298518817055e+001	4.399132e+000	
1.915672542254555e+001	4.185176e+000	
1.919046565692055e+001	3.807576e+000	
1.922420589129555e+001	3.286720e+000	
1.925794612567055e+001	2.648308e+000	
1.929168636004555e+001	1.922128e+000	
1.932542659442055e+001	1.140684e+000	
1.935916682879555e+001	3.377556e-001	
1.939290706317055e+001	-4.530506e-001	
1.942664729754555e+001	-1.199700e+000	
1.946038753192055e+001	-1.873016e+000	
1.949412776629555e+001	-2.447810e+000	
1.952786800067054e+001	-2.903800e+000	
1.956160823504554e+001	-3.226299e+000	
1.959534846942054e+001	-3.406638e+000	
1.962908870379554e+001	-3.442328e+000	
1.966282893817054e+001	-3.336952e+000	
1.969656917254554e+001	-3.099804e+000	
1.973030940692054e+001	-2.745302e+000	
1.976404964129554e+001	-2.292205e+000	
1.979778987567054e+001	-1.762674e+000	
1.983153011004554e+001	-1.181223e+000	
1.989901057879554e+001	3.429101e-002	
1.993275081317054e+001	6.175584e-001	
1.996649104754554e+001	1.153244e+000	
2.000023128192053e+001	1.621247e+000	
2.003397151629553e+001	2.005044e+000	
2.006771175067053e+001	2.292235e+000	
2.010145198504553e+001	2.474904e+000	
2.013519221942053e+001	2.549764e+000	
2.016893245379553e+001	2.518110e+000	
2.020267268817053e+001	2.385576e+000	
2.023641292254553e+001	2.161727e+000	
2.027015315692053e+001	1.859491e+000	
2.030389339129553e+001	1.494485e+000	
2.033763362567053e+001	1.084252e+000	
2.037137386004553e+001	6.474501e-001	
2.040511409442053e+001	2.030292e-001	
2.043885432879553e+001	-2.305637e-001	
2.047259456317052e+001	-6.361275e-001	
2.050633479754552e+001	-9.983617e-001	
2.054007503192052e+001	-1.304413e+000	
2.057381526629552e+001	-1.544293e+000	
2.060755550067052e+001	-1.711163e+000	
2.064129573504552e+001	-1.801465e+000	
2.067503596942052e+001	-1.814919e+000	
2.070877620379552e+001	-1.754382e+000	
2.074251643817052e+001	-1.625582e+000	
2.077625667254552e+001	-1.436754e+000	
2.080999690692052e+001	-1.198180e+000	
2.084373714129552e+001	-9.216795e-001	
2.087747737567052e+001	-6.200558e-001	
2.094495784442051e+001	5.790141e-003	
2.097869807879551e+001	3.044688e-001	
2.101243831317051e+001	5.781648e-001	
2.104617854754551e+001	8.170481e-001	
2.107991878192051e+001	1.013110e+000	
2.111365901629551e+001	1.160388e+000	
2.114739925067051e+001	1.255100e+000	
2.118113948504551e+001	1.295686e+000	
2.121487971942051e+001	1.282756e+000	
2.124861995379551e+001	1.218970e+000	
2.128236018817051e+001	1.108829e+000	
2.131610042254551e+001	9.584231e-001	
2.134984065692051e+001	7.751269e-001	
2.138358089129551e+001	5.672630e-001	
2.141732112567051e+001	3.437524e-001	
2.145106136004550e+001	1.137599e-001	
2.148480159442050e+001	-1.136495e-001	
2.151854182879550e+001	-3.298327e-001	
2.155228206317050e+001	-5.268597e-001	
2.158602229754550e+001	-6.977647e-001	
2.161976253192050e+001	-8.367531e-001	
2.165350276629550e+001	-9.393588e-001	
2.168724300067050e+001	-1.002552e+000	
2.172098323504550e+001	-1.024794e+000	
2.175472346942050e+001	-1.006047e+000	
2.178846370379550e+001	-9.477276e-001	
2.182220393817050e+001	-8.526310e-001	
2.185594417254550e+001	-7.248030e-001	
2.188968440692050e+001	-5.693864e-001	
2.192342464129549e+001	-3.924357e-001	
2.195716487567049e+001	-2.007097e-001	
2.199090511004549e+001	-1.447107e-003	
2.202464534442049e+001	1.978698e-001	
2.205838557879549e+001	3.897569e-001	
2.209212581317049e+001	5.669703e-001	
2.212586604754549e+001	7.227427e-001	
2.215960628192049e+001	8.510078e-001	
2.219334651629549e+001	9.466084e-001	
2.222708675067049e+001	1.005481e+000	
2.226082698504549e+001	1.024814e+000	
2.229456721942049e+001	1.003166e+000	
2.232830745379549e+001	9.405566e-001	
2.236204768817049e+001	8.385016e-001	
2.239578792254548e+001	7.000099e-001	
2.242952815692048e+001	5.295273e-001	
2.246326839129548e+001	3.328304e-001	
2.249700862567048e+001	1.168693e-001	
2.253074886004548e+001	-1.104382e-001	
2.256448909442048e+001	-3.404572e-001	
2.259822932879548e+001	-5.641267e-001	
2.263196956317048e+001	-7.722809e-001	
2.266570979754548e+001	-9.559927e-001	
2.269945003192048e+001	-1.106928e+000	
2.273319026629548e+001	-1.217697e+000	
2.276693050067048e+001	-1.282189e+000	
2.280067073504548e+001	-1.295876e+000	
2.283441096942048e+001	-1.256072e+000	
2.286815120379547e+001	-1.162135e+000	
2.290189143817047e+001	-1.015594e+000	
2.293563167254547e+001	-8.201991e-001	
2.296937190692047e+001	-5.818815e-001	
2.300311214129547e+001	-3.086220e-001	
2.303685237567047e+001	-1.022643e-002	
2.310433284442047e+001	6.155839e-001	
2.313807307879547e+001	9.174737e-001	
2.317181331317047e+001	1.194430e+000	
2.320555354754547e+001	1.435295e+000	
2.323508876543726e+001	1.606313e+000	
2.326423025651964e+001	1.736890e+000	
2.327669756397011e+001	1.778590e+000	
2.328667039395319e+001	1.802804e+000	
2.329644923756606e+001	1.818542e+000	
2.331600692479179e+001	1.826582e+000	
2.334974715916679e+001	1.785481e+000	
2.338348739354179e+001	1.675175e+000	
2.341722762791678e+001	1.488905e+000	
2.345096786229178e+001	1.231086e+000	
2.348470809666678e+001	9.093912e-001	
2.351844833104178e+001	5.345846e-001	
2.355218856541678e+001	1.201993e-001	
2.358592879979178e+001	-3.179143e-001	
2.361966903416678e+001	-7.621652e-001	
2.365340926854178e+001	-1.193902e+000	
2.368714950291678e+001	-1.594172e+000	
2.372088973729178e+001	-1.944528e+000	
2.375462997166678e+001	-2.227850e+000	
2.378837020604178e+001	-2.429147e+000	
2.382211044041678e+001	-2.536300e+000	
2.385585067479178e+001	-2.540717e+000	
2.388959090916677e+001	-2.437855e+000	
2.392333114354177e+001	-2.227590e+000	
2.395707137791677e+001	-1.914412e+000	
2.399081161229177e+001	-1.507425e+000	
2.402455184666677e+001	-1.020136e+000	
2.405829208104177e+001	-4.700577e-001	
2.409203231541677e+001	1.218937e-001	
2.412577254979177e+001	7.321685e-001	
2.415951278416677e+001	1.340684e+000	
2.417424996908991e+001	1.600454e+000	
2.418064305386325e+001	1.710360e+000	
2.418355524728509e+001	1.759611e+000	
2.418737064887949e+001	1.823446e+000	
2.419043451938069e+001	1.874210e+000	
2.419418409415872e+001	1.935627e+000	
2.420739461462161e+001	2.144583e+000	
2.422063714179378e+001	2.340454e+000	
2.424712219613813e+001	2.690430e+000	
2.428086243051313e+001	3.055526e+000	
2.431460266488813e+001	3.310598e+000	
2.434834289926313e+001	3.435678e+000	
2.438208313363813e+001	3.420692e+000	
2.441582336801313e+001	3.261204e+000	
2.444956360238813e+001	2.958815e+000	
2.448330383676312e+001	2.521307e+000	
2.451704407113812e+001	1.962519e+000	
2.455078430551312e+001	1.301962e+000	
2.458452453988812e+001	5.641702e-001	
2.461826477426312e+001	-2.221911e-001	
2.465200500863812e+001	-1.025423e+000	
2.468574524301312e+001	-1.812062e+000	
2.471948547738812e+001	-2.548263e+000	
2.475322571176312e+001	-3.201248e+000	
2.478696594613812e+001	-3.740753e+000	
2.482070618051312e+001	-4.140407e+000	
2.485444641488812e+001	-4.378987e+000	
2.488818664926312e+001	-4.441491e+000	
2.492192688363812e+001	-4.319967e+000	
2.495566711801311e+001	-4.014069e+000	
2.498940735238811e+001	-3.531286e+000	
2.502314758676311e+001	-2.886859e+000	
2.505688782113811e+001	-2.103338e+000	
2.509062805551311e+001	-1.209826e+000	
2.512436828988811e+001	-2.487028e-001	
2.512858581918498e+001	-1.242024e-001	
2.513702087777874e+001	1.291743e-001	
2.516654358285686e+001	1.020167e+000	
2.518341370004436e+001	1.521744e+000	
2.521715393441936e+001	2.501982e+000	
2.522764954579652e+001	2.797170e+000	
2.523240116463089e+001	2.926702e+000	
2.523485083710893e+001	2.992511e+000	
2.523656320184907e+001	3.038108e+000	
2.523852027500579e+001	3.089862e+000	
2.524055911799059e+001	3.143383e+000	
2.524715954701100e+001	3.313482e+000	
2.526746377527612e+001	3.799363e+000	
2.529406229932090e+001	4.351295e+000	
2.532780253369590e+001	4.915092e+000	
2.536154276807090e+001	5.296675e+000	
2.539528300244590e+001	5.467056e+000	
2.542902323682090e+001	5.413891e+000	
2.546276347119590e+001	5.133999e+000	
2.549650370557090e+001	4.633719e+000	
2.553024393994590e+001	3.928860e+000	
2.556398417432090e+001	3.076397e+000	
2.557663676221152e+001	2.702108e+000	
2.559772440869590e+001	2.039091e+000	
2.562302958447715e+001	1.184151e+000	
2.563568217236777e+001	7.395569e-001	
